['bosom', 2, 1, ['tarse', 'bosom'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', -1], [3, 's', 0], [4, 'e', -1]], [[0, 'b', 1], [1, 'o', 1], [2, 's', 1], [3, 'o', 1], [4, 'm', 1]]]]
['bossy', 2, 1, ['tarse', 'bossy'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', -1], [3, 's', 1], [4, 'e', -1]], [[0, 'b', 1], [1, 'o', 1], [2, 's', 1], [3, 's', 1], [4, 'y', 1]]]]
['botch', 3, 1, ['tarse', 'rossa', 'botch'], [[[0, 't', 0], [1, 'a', -1], [2, 'r', -1], [3, 's', -1], [4, 'e', -1]], [[0, 'r', -1], [1, 'o', 1], [2, 's', -1], [3, 's', -1], [4, 'a', -1]], [[0, 'b', 1], [1, 'o', 1], [2, 't', 1], [3, 'c', 1], [4, 'h', 1]]]]
['bough', 3, 1, ['tarse', 'squad', 'bough'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', -1], [3, 's', -1], [4, 'e', -1]], [[0, 's', -1], [1, 'q', -1], [2, 'u', 1], [3, 'a', -1], [4, 'd', -1]], [[0, 'b', 1], [1, 'o', 1], [2, 'u', 1], [3, 'g', 1], [4, 'h', 1]]]]
['boule', 3, 1, ['tarse', 'polio', 'boule'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', -1], [3, 's', -1], [4, 'e', 1]], [[0, 'p', -1], [1, 'o', 1], [2, 'l', 0], [3, 'i', -1], [4, 'o', -1]], [[0, 'b', 1], [1, 'o', 1], [2, 'u', 1], [3, 'l', 1], [4, 'e', 1]]]]
['bound', 3, 1, ['tarse', 'squad', 'bound'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', -1], [3, 's', -1], [4, 'e', -1]], [[0, 's', -1], [1, 'q', -1], [2, 'u', 1], [3, 'a', -1], [4, 'd', 1]], [[0, 'b', 1], [1, 'o', 1], [2, 'u', 1], [3, 'n', 1], [4, 'd', 1]]]]
['bowel', 2, 1, ['tarse', 'bowel'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', -1], [3, 's', -1], [4, 'e', 0]], [[0, 'b', 1], [1, 'o', 1], [2, 'w', 1], [3, 'e', 1], [4, 'l', 1]]]]
['boxer', 3, 1, ['tarse', 'wizzo', 'boxer'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', 0]], [[0, 'w', -1], [1, 'i', -1], [2, 'z', -1], [3, 'z', -1], [4, 'o', 0]], [[0, 'b', 1], [1, 'o', 1], [2, 'x', 1], [3, 'e', 1], [4, 'r', 1]]]]
['brace', 3, 1, ['tarse', 'queck', 'brace'], [[[0, 't', -1], [1, 'a', 0], [2, 'r', 0], [3, 's', -1], [4, 'e', 1]], [[0, 'q', -1], [1, 'u', -1], [2, 'e', 0], [3, 'c', 1], [4, 'k', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'a', 1], [3, 'c', 1], [4, 'e', 1]]]]
['braid', 3, 1, ['tarse', 'knowd', 'braid'], [[[0, 't', -1], [1, 'a', 0], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'k', -1], [1, 'n', -1], [2, 'o', -1], [3, 'w', -1], [4, 'd', 1]], [[0, 'b', 1], [1, 'r', 1], [2, 'a', 1], [3, 'i', 1], [4, 'd', 1]]]]
['brain', 3, 1, ['tarse', 'knowd', 'brain'], [[[0, 't', -1], [1, 'a', 0], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'k', -1], [1, 'n', 0], [2, 'o', -1], [3, 'w', -1], [4, 'd', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'a', 1], [3, 'i', 1], [4, 'n', 1]]]]
['brake', 3, 1, ['tarse', 'queck', 'brake'], [[[0, 't', -1], [1, 'a', 0], [2, 'r', 0], [3, 's', -1], [4, 'e', 1]], [[0, 'q', -1], [1, 'u', -1], [2, 'e', 0], [3, 'c', -1], [4, 'k', 0]], [[0, 'b', 1], [1, 'r', 1], [2, 'a', 1], [3, 'k', 1], [4, 'e', 1]]]]
['brand', 3, 1, ['tarse', 'knowd', 'brand'], [[[0, 't', -1], [1, 'a', 0], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'k', -1], [1, 'n', 0], [2, 'o', -1], [3, 'w', -1], [4, 'd', 1]], [[0, 'b', 1], [1, 'r', 1], [2, 'a', 1], [3, 'n', 1], [4, 'd', 1]]]]
['brash', 6, -1, ['tarse', 'rossa', 'rossa', 'rossa', 'rossa', 'rossa'], [[[0, 't', -1], [1, 'a', 0], [2, 'r', 0], [3, 's', 1], [4, 'e', -1]], [[0, 'r', 0], [1, 'o', -1], [2, 's', -1], [3, 's', 1], [4, 'a', 0]], [[0, 'r', 0], [1, 'o', -1], [2, 's', -1], [3, 's', 1], [4, 'a', 0]], [[0, 'r', 0], [1, 'o', -1], [2, 's', -1], [3, 's', 1], [4, 'a', 0]], [[0, 'r', 0], [1, 'o', -1], [2, 's', -1], [3, 's', 1], [4, 'a', 0]], [[0, 'r', 0], [1, 'o', -1], [2, 's', -1], [3, 's', 1], [4, 'a', 0]]]]
['brass', 6, -1, ['tarse', 'rossa', 'rossa', 'rossa', 'rossa', 'rossa'], [[[0, 't', -1], [1, 'a', 0], [2, 'r', 0], [3, 's', 1], [4, 'e', -1]], [[0, 'r', 0], [1, 'o', -1], [2, 's', 0], [3, 's', 1], [4, 'a', 0]], [[0, 'r', 0], [1, 'o', -1], [2, 's', 0], [3, 's', 1], [4, 'a', 0]], [[0, 'r', 0], [1, 'o', -1], [2, 's', 0], [3, 's', 1], [4, 'a', 0]], [[0, 'r', 0], [1, 'o', -1], [2, 's', 0], [3, 's', 1], [4, 'a', 0]], [[0, 'r', 0], [1, 'o', -1], [2, 's', 0], [3, 's', 1], [4, 'a', 0]]]]
